id,zonaId,municipio,name,lat,lng,status,address,priority,size,confidence,coverage,quality,phone,departamento,source_url,source,categoria,NIT,temperatura,gap_nivel,accion_recomendada,source_agents
caribe_entity_001,atlantico_barranquilla,Barranquilla,Depósito La 40B,10.961860,-74.790652,INACTIVO,"Calle 40B #21B-43, Barranquilla",Alta,Mediana,65,55.5,Media,+573237815583,Atlántico,null,A1,Deposito,950399012-8,59.2,media,Verificar reactivación del establecimiento.,"[""A1"",""A2""]"
caribe_entity_002,atlantico_barranquilla,Barranquilla,Depósito de Materiales La Milagrosa,10.963758,-74.822034,VALIDAR,"Carrera 12 #81-03, Barranquilla",Alta,Grande,48,60.3,Baja,+573157943257,Atlántico,https://mock-ferromap.example/entity/002,A2,Deposito,945446470-1,53.0,media,Validar información del establecimiento.,"[""A1"",""A2"",""A3""]"
caribe_entity_003,atlantico_barranquilla,Barranquilla,Depósito Bocas de Ceniza,10.993658,-74.794263,ACTIVO,"Calle 60 #53-71, Barranquilla",Alta,Grande,88,93.6,Alta,+573119650500,Atlántico,https://mock-ferromap.example/entity/003,A1,Deposito,976011329-6,64.6,media,Realizar seguimiento comercial.,"[""A1"",""A2"",""A3""]"
caribe_entity_004,atlantico_barranquilla,Barranquilla,Ferreeléctricos La Costa,11.001608,-74.823273,ACTIVO,"Calle 87 #44-92, Barranquilla",Alta,Grande,80,82.6,Alta,+573235863980,Atlántico,null,A2,Ferreteria,976082935-3,64.5,media,Realizar seguimiento comercial.,"[""A2"",""A3""]"
caribe_entity_005,atlantico_barranquilla,Barranquilla,Ferreeléctricos Don Julio,10.967890,-74.775567,ACTIVO,"Carrera 30 #19-13, Barranquilla",Alta,Pequeña,77,75.3,Media,+573199822263,Atlántico,https://mock-ferromap.example/entity/005,A3,Ferreteria,959159012-1,75.2,alta,Priorizar activación comercial.,"[""A3""]"
caribe_entity_006,atlantico_barranquilla,Barranquilla,Ferretería La Arenosa,10.952052,-74.811442,ACTIVO,"Carrera 9 #57-36, Barranquilla",Alta,Grande,91,96.0,Alta,+573145998785,Atlántico,https://mock-ferromap.example/entity/006,A3,Ferreteria,956642991-7,42.4,media,Realizar seguimiento comercial.,"[""A3""]"
caribe_entity_007,atlantico_barranquilla,Barranquilla,Ferretería Nueva Era,10.967698,-74.795272,ACTIVO,"Calle 50 #23-26, Barranquilla",Alta,Pequeña,90,90.1,Alta,+573242457352,Atlántico,https://mock-ferromap.example/entity/007,A1,Ferreteria,959046416-8,58.7,media,Realizar seguimiento comercial.,"[""A1"",""A3""]"
caribe_entity_008,atlantico_barranquilla,Barranquilla,Ferreeléctricos Santa Fe,10.965938,-74.805160,VALIDAR,"Calle 63 #19-90, Barranquilla",Alta,Pequeña,64,53.3,Baja,+573057341554,Atlántico,null,A3,Ferreteria,950981753-2,65.0,media,Validar información del establecimiento.,"[""A3""]"
caribe_entity_009,atlantico_barranquilla,Barranquilla,Ferreeléctricos El Constructor Barranquilla,11.011788,-74.815929,VALIDAR,"Carrera 58 #86-56, Barranquilla",Alta,Pequeña,66,64.3,Media,+573197985031,Atlántico,https://mock-ferromap.example/entity/009,A1,Ferreteria,976797177-6,52.0,media,Validar información del establecimiento.,"[""A1"",""A2""]"
caribe_entity_010,atlantico_barranquilla,Barranquilla,Ferretería Del Atlántico,11.015301,-74.816852,ACTIVO,"Carrera 64 #90-71, Barranquilla",Alta,Grande,80,73.4,Media,+573151756449,Atlántico,null,A1,Ferreteria,946874969-3,72.3,alta,Priorizar activación comercial.,"[""A1"",""A2""]"
caribe_entity_011,atlantico_barranquilla,Barranquilla,Ferretería Doña Carmen,10.982110,-74.832512,ACTIVO,"Calle 100 #37-18, Barranquilla",Alta,Mediana,64,56.7,Media,+573009190400,Atlántico,null,A2,Ferreteria,974796667-1,63.0,media,Fortalecer cobertura comercial.,"[""A2""]"
caribe_entity_012,atlantico_barranquilla,Barranquilla,Distribuciones El Refugio,10.955631,-74.819053,ACTIVO,"Carrera 9A #64B-71, Barranquilla",Alta,Grande,97,97.4,Alta,+573058149730,Atlántico,https://mock-ferromap.example/entity/012,A2,Distribuidora,957825695-1,75.1,alta,Evaluar potencial de expansión.,"[""A1"",""A2""]"
caribe_entity_013,atlantico_barranquilla,Barranquilla,Ferretería y Pinturas Caribe,10.997645,-74.798201,INACTIVO,"Carrera 54 #68-13, Barranquilla",Alta,Mediana,67,75,Media,+573203149875,Atlántico,https://mock-ferromap.example/entity/013,A3,Ferreteria,962789600-6,55.3,media,Verificar reactivación del establecimiento.,"[""A3""]"
caribe_entity_014,atlantico_barranquilla,Barranquilla,Depósito y Ferretería De la Hoz y Cía,10.985567,-74.777331,VALIDAR,"Avenida Carrera 46 #34-51, Barranquilla",Alta,Pequeña,77,75,Media,+573003456787,Atlántico,null,A1,Deposito,943062096-3,96.6,alta,Validar información y agendar contacto comercial.,"[""A1"",""A3""]"
caribe_entity_015,atlantico_barranquilla,Barranquilla,Distribuidora Ferretera Hermanos Cassiani,10.992990,-74.827432,ACTIVO,"Carrera 42A 3 #86-04, Barranquilla",Alta,Grande,80,84.7,Alta,+573155661022,Atlántico,null,A3,Distribuidora,951689845-4,77.3,alta,Evaluar potencial de expansión.,"[""A3""]"
caribe_entity_016,atlantico_barranquilla,Barranquilla,Ferreeléctricos Hermanos Julio,10.975778,-74.790918,ACTIVO,"Carrera 33 #48-46, Barranquilla",Alta,Mediana,71,71.6,Media,+573162459453,Atlántico,null,A2,Ferreteria,944381701-3,68.0,media,Fortalecer cobertura comercial.,"[""A2""]"
caribe_entity_017,atlantico_barranquilla,Barranquilla,Depósito San José,10.955234,-74.830304,VALIDAR,"Carrera 9 #99-51, Barranquilla",Alta,Grande,62,62.1,Media,+573510178322,Atlántico,https://mock-ferromap.example/entity/017,A1,Deposito,940317802-2,81.4,alta,Validar información y agendar contacto comercial.,"[""A1""]"
