id,zonaId,municipio,name,lat,lng,status,address,priority,size,confidence,coverage,quality,phone,departamento,source_url,source,categoria,NIT,temperatura,gap_nivel,accion_recomendada,source_agents
choco_entity_001,choco_quibdo,Quibdó,Depósito de Materiales Santa Rita Quibdó,5.692395,-76.65367,ACTIVO,"Carrera 32 #22-19, Quibdó",Alta,Mediana,75.6,72.9,Media,+573504856488,Chocó,null,A1,Deposito,900482139-7,66.4,media,Realizar seguimiento comercial.,"[""A1""]"
choco_entity_002,choco_quibdo,Quibdó,Comercializadora Hermanos Mosquera Quibdó,5.692663,-76.661153,ACTIVO,"Carrera 2 #5-5, Barrio Kennedy, Quibdó",Alta,Pequeña,87.4,92.5,Alta,+573509021501,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/002,A3,Distribuidora,901271011-1,46.6,media,Fortalecer cobertura comercial.,"[""A2"",""A3""]"
choco_entity_003,choco_quibdo,Quibdó,Depósito La 20,5.686321,-76.660231,ACTIVO,"Carrera 24 #7-59, Barrio Pandeyuca, Quibdó",Alta,Mediana,38.9,39.4,Baja,+573510645693,Chocó,null,A1,Deposito,900948078-8,54.5,media,Realizar seguimiento comercial.,"[""A1""]"
choco_entity_004,choco_quibdo,Quibdó,Distribuciones Punta Brava,5.704717,-76.65446,ACTIVO,"Avenida 18 #5-14, Quibdó",Alta,Mediana,69.3,83.6,Media,+573505189621,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/004,A2,Distribuidora,900563033-3,73.8,alta,Priorizar activación comercial.,"[""A1"",""A2""]"
choco_entity_005,choco_quibdo,Quibdó,Depósito de Materiales Cuesta,5.704041,-76.656047,ACTIVO,"Calle 3 #26-18, Quibdó",Alta,Mediana,68.9,83.7,Media,+573171065476,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/005,A2,Deposito,900249420-5,99.5,alta,Priorizar visita comercial.,"[""A1"",""A2""]"
choco_entity_006,choco_quibdo,Quibdó,Ferretería Industrial Hermanos Palacios Quibdó,5.698256,-76.656622,ACTIVO,"Carrera 19 #11-40, Quibdó",Alta,Pequeña,88.1,94.9,Alta,+573224287050,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/006,A1,Ferreteria,900709974-8,49.0,media,Fortalecer cobertura comercial.,"[""A1"",""A3""]"
choco_entity_007,choco_quibdo,Quibdó,Ferretería y Pinturas El Guayacán Quibdó,5.67969,-76.650557,VALIDAR,"Transversal 16 #9-18, Barrio Centro, Quibdó",Alta,Pequeña,94.3,91.3,Alta,+573220979804,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/007,A3,Ferreteria,900137102-7,68.8,media,Realizar validación del establecimiento.,"[""A2"",""A3""]"
choco_entity_008,choco_quibdo,Quibdó,Comercializadora Hermanos Palacios,5.699262,-76.653784,ACTIVO,"Avenida 8 #8-36, Quibdó",Alta,Grande,66.9,83.2,Media,+573165829567,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/008,A3,Distribuidora,900441031-5,92.4,alta,Priorizar activación comercial.,"[""A1"",""A3""]"
choco_entity_009,choco_quibdo,Quibdó,Ferretería y Pinturas San Francisco,5.686685,-76.662539,ACTIVO,"Avenida 31 #22-49, Quibdó",Alta,Mediana,42.9,52.5,Baja,+573136642476,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/009,A2,Ferreteria,900714842-4,70.1,alta,Priorizar visita comercial.,"[""A2""]"
choco_entity_010,choco_quibdo,Quibdó,Depósito La Primavera,5.697452,-76.658716,ACTIVO,"Transversal 18 #7-34, Quibdó",Alta,Mediana,67.2,74.4,Media,+573040257117,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/010,A1,Deposito,901533989-4,55.7,media,Realizar seguimiento comercial.,"[""A1"",""A3""]"
choco_entity_011,choco_quibdo,Quibdó,Ferretería y Pinturas Los Andes,5.699393,-76.664115,ACTIVO,"Calle 27 #1-59, Quibdó",Alta,Pequeña,94.5,91.9,Alta,+573118492864,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/011,A1,Ferreteria,901165289-8,60.9,media,Realizar seguimiento comercial.,"[""A1"",""A3""]"
choco_entity_012,choco_quibdo,Quibdó,Ferretería Industrial El Futuro,5.697481,-76.654731,ACTIVO,"Calle 28 #8-17, Quibdó",Alta,Grande,88.4,93.6,Alta,+573511663714,Chocó,null,A1,Ferreteria,901013375-1,53.8,media,Realizar seguimiento comercial.,"[""A1"",""A2"",""A3""]"
choco_entity_013,choco_quibdo,Quibdó,Ferretería Industrial La Victoria,5.688744,-76.64275,ACTIVO,"Carrera 9 #26-60, Quibdó",Alta,Pequeña,99.9,90.3,Alta,+573171197216,Chocó,null,A3,Ferreteria,900493581-7,70.1,alta,Priorizar visita comercial.,"[""A1"",""A2"",""A3""]"
choco_entity_014,choco_quibdo,Quibdó,Depósito La Frontera,5.699714,-76.647463,ACTIVO,"Transversal 28 #25-25, Barrio Zona Minera, Quibdó",Alta,Grande,61.4,83.4,Media,+573235328830,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/014,A3,Deposito,900950551-7,61.2,media,Realizar seguimiento comercial.,"[""A3""]"
choco_entity_015,choco_quibdo,Quibdó,Ferretería Industrial Chocó Construye,5.689111,-76.664995,ACTIVO,"Carrera 7 #26-21, Quibdó",Alta,Mediana,40.1,49.5,Baja,+573237546532,Chocó,null,A3,Ferreteria,900483934-0,70.5,alta,Priorizar visita comercial.,"[""A3""]"
choco_entity_016,choco_quibdo,Quibdó,Ferretería y Pinturas Casa Nueva,5.6916,-76.659264,ACTIVO,"Calle 17 #14-13, Quibdó",Alta,Mediana,73.1,80.0,Media,+573181639877,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/016,A2,Ferreteria,901485967-6,72.3,alta,Priorizar visita comercial.,"[""A2""]"
choco_entity_017,choco_quibdo,Quibdó,Depósito de Materiales Casa Nueva Quibdó,5.700394,-76.656051,INACTIVO,"Carrera 22 #11-13, Quibdó",Alta,Mediana,68.7,74.5,Media,+573052252389,Chocó,null,A1,Deposito,900885176-1,48.6,media,Verificar continuidad operativa del establecimiento.,"[""A1"",""A3""]"
choco_entity_018,choco_quibdo,Quibdó,Ferretería y Pinturas El Progreso Quibdó,5.69067,-76.666964,VALIDAR,"Transversal 9 #21-57, Barrio Pandeyuca, Quibdó",Alta,Pequeña,81.5,64.7,Media,+573153453487,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/018,A1,Ferreteria,901288832-6,69.4,media,Verificar información del punto.,"[""A1""]"
choco_entity_019,choco_quibdo,Quibdó,Ferre-Eléctricos El Futuro Quibdó,5.69001,-76.647246,ACTIVO,"Carrera 5 #5-15, Quibdó",Alta,Pequeña,33.5,42.6,Baja,+573217704545,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/019,A1,Ferreteria,901002441-2,31.0,baja,Mantener seguimiento de la cuenta.,"[""A1""]"
choco_entity_020,choco_quibdo,Quibdó,Ferretería y Pinturas La Victoria,5.687421,-76.656084,ACTIVO,"Carrera 16 #30-22, Quibdó",Alta,Mediana,73.6,76.3,Media,+573239896597,Chocó,null,A3,Ferreteria,901238107-0,65.8,media,Realizar seguimiento comercial.,"[""A1"",""A3""]"
choco_entity_021,choco_quibdo,Quibdó,Comercializadora Río San Juan Quibdó,5.698543,-76.671788,VALIDAR,"Carrera 19 #13-10, Barrio La Yesquita, Quibdó",Alta,Pequeña,42.4,55.7,Baja,+573110288186,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/021,A3,Distribuidora,900908611-3,55.8,media,Verificar información del punto.,"[""A3""]"
choco_entity_022,choco_quibdo,Quibdó,Distribuciones El Guayacán,5.695137,-76.646474,ACTIVO,"Transversal 26 #18-58, Quibdó",Alta,Mediana,98.6,97.8,Alta,+573130202934,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/022,A3,Distribuidora,900840061-8,64.4,media,Fortalecer cobertura comercial.,"[""A1"",""A2"",""A3""]"
choco_entity_023,choco_quibdo,Quibdó,Depósito de Materiales Moreno Quibdó,5.676553,-76.661212,ACTIVO,"Carrera 1 #1-56, Quibdó",Alta,Grande,90.5,94.6,Alta,+573136104324,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/023,A3,Deposito,900404804-4,54.4,media,Fortalecer cobertura comercial.,"[""A3""]"
choco_entity_024,choco_quibdo,Quibdó,Depósito El Chontaduro,5.693744,-76.665699,VALIDAR,"Calle 4 #5-8, Quibdó",Alta,Mediana,80.6,73.7,Media,+573174611146,Chocó,null,A3,Deposito,901407240-8,79.3,alta,Verificar información del punto.,"[""A3""]"
choco_entity_025,choco_quibdo,Quibdó,Ferretería y Pinturas La Palma,5.699181,-76.658864,ACTIVO,"Calle 22 #25-22, Quibdó",Alta,Mediana,90.7,88.4,Alta,+573131675851,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/025,A2,Ferreteria,901766382-4,49.8,media,Realizar seguimiento comercial.,"[""A2"",""A3""]"
choco_entity_026,choco_quibdo,Quibdó,Depósito de Materiales La Económica,5.681505,-76.650805,ACTIVO,"Calle 17 #8-56, Quibdó",Alta,Mediana,98.2,99.0,Alta,+573022730071,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/026,A3,Deposito,900524219-1,66.0,media,Realizar seguimiento comercial.,"[""A3""]"
choco_entity_027,choco_quibdo,Quibdó,Ferretería Industrial La Bendición,5.70073,-76.649737,VALIDAR,"Avenida 21 #23-4, Quibdó",Alta,Mediana,69.8,73.5,Media,+573115350027,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/027,A2,Ferreteria,901726477-4,68.3,media,Verificar información del punto.,"[""A2""]"
choco_entity_028,choco_quibdo,Quibdó,Ferretería Industrial Río San Juan,5.707678,-76.65502,INACTIVO,"Avenida 22 #28-27, Quibdó",Alta,Mediana,65.1,86.3,Media,+573125242823,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/028,A1,Ferreteria,901166118-1,66.9,media,Evaluar reactivación del punto comercial.,"[""A1""]"
choco_entity_029,choco_quibdo,Quibdó,Distribuidora El Sol,5.695775,-76.670062,VALIDAR,"Calle 4 #24-24, Quibdó",Alta,Mediana,58.6,46.1,Baja,+573113034819,Chocó,null,A1,Distribuidora,900795928-5,56.1,media,Realizar validación del establecimiento.,"[""A1""]"
choco_entity_030,choco_quibdo,Quibdó,Depósito de Materiales Moreno,5.700245,-76.663839,ACTIVO,"Carrera 7 #10-27, Barrio Zona Minera, Quibdó",Alta,Mediana,71.5,61.6,Media,+573157593207,Chocó,null,A1,Deposito,900924906-8,41.0,media,Realizar seguimiento comercial.,"[""A1"",""A2""]"
choco_entity_031,choco_quibdo,Quibdó,Ferre-Eléctricos El Constructor,5.690622,-76.669751,ACTIVO,"Calle 32 #3-16, Quibdó",Alta,Pequeña,76.1,82.3,Media,+573016246599,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/031,A1,Ferreteria,901508469-0,86.6,alta,Priorizar activación comercial.,"[""A1"",""A3""]"
choco_entity_032,choco_quibdo,Quibdó,Ferretería y Pinturas El Futuro Quibdó,5.685983,-76.663109,ACTIVO,"Transversal 11 #13-39, Barrio Niño Jesús, Quibdó",Alta,Grande,71.0,85.2,Media,+573180135657,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/032,A3,Ferreteria,900698441-5,57.5,media,Fortalecer cobertura comercial.,"[""A3""]"
choco_entity_033,choco_quibdo,Quibdó,Ferre-Eléctricos San Francisco Quibdó,5.681568,-76.656133,VALIDAR,"Calle 8 #17-32, Quibdó",Alta,Mediana,75.8,66.5,Media,+573512580571,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/033,A1,Ferreteria,900574274-9,49.8,media,Verificar información del punto.,"[""A1"",""A2""]"
choco_entity_034,choco_quibdo,Quibdó,Comercializadora Perea Quibdó,5.707703,-76.653062,ACTIVO,"Transversal 1 #21-37, Quibdó",Alta,Pequeña,88.6,97.1,Alta,+573502284816,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/034,A2,Distribuidora,901561633-7,90.7,alta,Priorizar visita comercial.,"[""A1"",""A2"",""A3""]"
choco_entity_035,choco_quibdo,Quibdó,Depósito de Materiales Lozano,5.69792,-76.664966,ACTIVO,"Carrera 19 #23-48, Barrio Medrano, Quibdó",Alta,Grande,88.1,91.2,Alta,+573042916376,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/035,A3,Deposito,901786677-7,32.7,baja,Mantener seguimiento de la cuenta.,"[""A1"",""A3""]"
choco_entity_036,choco_quibdo,Quibdó,Comercializadora Los Hermanos,5.684612,-76.649451,ACTIVO,"Avenida 16 #7-50, Quibdó",Alta,Mediana,69.7,70.7,Media,+573124171151,Chocó,null,A2,Distribuidora,900174544-6,80.8,alta,Priorizar activación comercial.,"[""A2""]"
choco_entity_037,choco_quibdo,Quibdó,Materiales El Porvenir Quibdó,5.704626,-76.656876,ACTIVO,"Calle 7 #13-41, Barrio Niño Jesús, Quibdó",Alta,Pequeña,30.5,47.4,Baja,+573152635650,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/037,A3,Deposito,900600797-0,86.6,alta,Priorizar activación comercial.,"[""A3""]"
choco_entity_038,choco_quibdo,Quibdó,Distribuidora Murillo,5.696914,-76.654367,ACTIVO,"Calle 5 #16-45, Barrio Roma, Quibdó",Alta,Grande,60.6,67.0,Media,+573103195633,Chocó,null,A3,Distribuidora,900697057-5,90.4,alta,Priorizar activación comercial.,"[""A3""]"
choco_entity_039,choco_quibdo,Quibdó,Ferretería Industrial Los Andes,5.70906,-76.652696,ACTIVO,"Carrera 20 #28-10, Quibdó",Alta,Pequeña,95.7,90.4,Alta,+573129016694,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/039,A1,Ferreteria,901052463-8,99.5,alta,Priorizar visita comercial.,"[""A1"",""A2"",""A3""]"
choco_entity_040,choco_quibdo,Quibdó,Ferretería y Pinturas Murillo,5.699373,-76.653341,INACTIVO,"Transversal 25 #23-3, Quibdó",Alta,Mediana,53.8,57.9,Baja,+573149484596,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/040,A1,Ferreteria,900458900-5,45.5,media,Verificar continuidad operativa del establecimiento.,"[""A1""]"
choco_entity_041,choco_quibdo,Quibdó,Depósito de Materiales La Victoria,5.680571,-76.646696,ACTIVO,"Carrera 25 #3-60, Barrio Centro, Quibdó",Alta,Grande,61.7,62.2,Media,+573147556753,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/041,A1,Deposito,901749170-8,99.5,alta,Priorizar activación comercial.,"[""A1"",""A3""]"
choco_entity_042,choco_quibdo,Quibdó,Distribuidora El Baudó Quibdó,5.703305,-76.653505,ACTIVO,"Avenida 24 #26-48, Barrio Centro, Quibdó",Alta,Grande,66.0,72.9,Media,+573024734667,Chocó,https://directorio-mock.ferromap.co/choco/quibdo/042,A1,Distribuidora,900396270-6,83.2,alta,Priorizar activación comercial.,"[""A1""]"
